entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,result,pnl,r_multiple,symbol,strategy_name,trigger_reason,confidence_score
2026-05-05 14:05:00+00:00,2026-05-05 15:05:00+00:00,SELL,27790.30000,27833.62500,27833.12500,27706.15000,LOSS,-113.10,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (27813.12500) swept and reclaimed at 27790.80000, mid=27823.12500",1.00
2026-05-06 13:55:00+00:00,2026-05-06 14:40:00+00:00,BUY,28483.50000,28444.22500,28444.72500,28559.55000,LOSS,-112.09,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (28464.72500) swept and reclaimed at 28483.00000, mid=28454.72500",1.00
2026-05-07 14:15:00+00:00,2026-05-07 15:10:00+00:00,SELL,28602.30000,28626.87500,28626.37500,28555.65000,LOSS,-111.82,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (28606.37500) swept and reclaimed at 28602.80000, mid=28616.37500",1.00
2026-05-08 15:30:00+00:00,2026-05-08 15:40:00+00:00,BUY,28788.50000,28859.70000,28751.90000,28860.20000,WIN,210.92,1.95,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (28771.90000) swept and reclaimed at 28788.00000, mid=28761.90000",1.00
2026-05-13 14:05:00+00:00,2026-05-13 15:00:00+00:00,SELL,29256.70000,29291.40000,29290.90000,29189.80000,LOSS,-112.15,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (29270.90000) swept and reclaimed at 29257.20000, mid=29280.90000",1.00
2026-05-14 15:55:00+00:00,2026-05-14 16:30:00+00:00,SELL,29384.60000,29438.27500,29437.77500,29279.75000,LOSS,-110.44,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (29417.77500) swept and reclaimed at 29385.10000, mid=29427.77500",1.00
2026-05-15 15:00:00+00:00,2026-05-15 15:30:00+00:00,SELL,29151.90000,29055.55000,29201.07500,29055.05000,WIN,212.21,1.96,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (29181.07500) swept and reclaimed at 29152.40000, mid=29191.07500",1.00
2026-05-18 14:10:00+00:00,2026-05-18 14:15:00+00:00,SELL,28966.90000,29023.35000,29022.85000,28856.50000,LOSS,-111.42,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (29002.85000) swept and reclaimed at 28967.40000, mid=29012.85000",1.00
2026-05-19 14:00:00+00:00,2026-05-19 14:55:00+00:00,BUY,28827.20000,28776.70000,28777.20000,28925.70000,LOSS,-110.41,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (28797.20000) swept and reclaimed at 28826.70000, mid=28787.20000",1.00
2026-05-20 14:40:00+00:00,2026-05-20 15:25:00+00:00,SELL,29007.80000,29050.00000,29049.50000,28925.90000,LOSS,-109.51,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (29029.50000) swept and reclaimed at 29008.30000, mid=29039.50000",1.00
2026-05-21 15:20:00+00:00,2026-05-21 15:25:00+00:00,BUY,29169.60000,29147.55000,29148.05000,29211.20000,LOSS,-109.60,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (29168.05000) swept and reclaimed at 29169.10000, mid=29158.05000",1.00
2026-05-25 15:05:00+00:00,2026-05-25 15:30:00+00:00,BUY,29902.20000,29879.10000,29879.60000,29945.90000,LOSS,-108.37,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (29899.60000) swept and reclaimed at 29901.70000, mid=29889.60000",1.00
2026-05-26 16:30:00+00:00,2026-05-26 16:35:00+00:00,BUY,29831.90000,29801.52500,29802.02500,29890.15000,LOSS,-106.69,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (29822.02500) swept and reclaimed at 29831.40000, mid=29812.02500",1.00
