trade_num,entry_time,result,pnl,cumulative_pnl
140,2025-09-19T15:05:00+00:00,WIN,160.46,-1547.46
141,2025-09-22T13:55:00+00:00,LOSS,-86.51,-1633.97
142,2025-09-23T14:15:00+00:00,LOSS,-85.00,-1718.97
143,2025-09-24T13:55:00+00:00,LOSS,-84.82,-1803.79
144,2025-09-25T14:05:00+00:00,WIN,156.80,-1646.99
145,2025-09-26T14:10:00+00:00,WIN,161.97,-1485.02
146,2025-09-29T15:05:00+00:00,LOSS,-86.58,-1571.60
147,2025-09-30T13:55:00+00:00,LOSS,-85.67,-1657.27
148,2025-10-01T14:05:00+00:00,WIN,158.91,-1498.36
149,2025-10-02T14:10:00+00:00,WIN,162.82,-1335.54
150,2025-10-03T14:20:00+00:00,WIN,166.63,-1168.91
151,2025-10-06T13:55:00+00:00,LOSS,-89.49,-1258.40
152,2025-10-07T14:00:00+00:00,LOSS,-89.28,-1347.68
153,2025-10-08T14:20:00+00:00,LOSS,-88.58,-1436.26
154,2025-10-09T15:05:00+00:00,LOSS,-87.29,-1523.55
155,2025-10-10T14:00:00+00:00,WIN,162.85,-1360.70
156,2025-10-13T14:05:00+00:00,WIN,168.40,-1192.30
157,2025-10-14T14:00:00+00:00,WIN,170.05,-1022.25
158,2025-10-15T14:20:00+00:00,LOSS,-91.60,-1113.85
159,2025-10-16T14:25:00+00:00,LOSS,-90.30,-1204.15
160,2025-10-17T13:55:00+00:00,WIN,168.66,-1035.49
161,2025-10-20T14:55:00+00:00,WIN,170.63,-864.86
162,2025-10-22T14:05:00+00:00,WIN,178.22,-686.64
163,2025-10-23T14:05:00+00:00,LOSS,-94.24,-780.88
164,2025-10-24T15:35:00+00:00,WIN,182.70,-598.18
165,2025-10-27T14:40:00+00:00,LOSS,-96.05,-694.23
166,2025-10-28T14:20:00+00:00,WIN,180.05,-514.18
167,2025-10-29T15:35:00+00:00,LOSS,-96.99,-611.17
168,2025-10-30T14:10:00+00:00,WIN,183.02,-428.15
169,2025-10-31T13:55:00+00:00,LOSS,-97.30,-525.45
170,2025-11-03T15:05:00+00:00,LOSS,-96.20,-621.65
171,2025-11-04T16:20:00+00:00,WIN,178.99,-442.66
172,2025-11-05T15:00:00+00:00,WIN,182.24,-260.42
173,2025-11-06T15:25:00+00:00,LOSS,-98.74,-359.16
174,2025-11-07T15:20:00+00:00,LOSS,-98.52,-457.68
175,2025-11-10T14:55:00+00:00,WIN,184.05,-273.63
176,2025-11-11T15:10:00+00:00,LOSS,-98.75,-372.38
177,2025-11-12T15:50:00+00:00,LOSS,-98.24,-470.62
178,2025-11-14T15:05:00+00:00,LOSS,-96.09,-566.71
179,2025-11-17T14:55:00+00:00,WIN,183.83,-382.88
180,2025-11-18T15:05:00+00:00,LOSS,-97.69,-480.57
181,2025-11-19T15:00:00+00:00,WIN,183.65,-296.92
182,2025-11-20T18:05:00+00:00,WIN,188.34,-108.58
183,2025-11-21T16:55:00+00:00,LOSS,-99.34,-207.92
184,2025-11-24T16:00:00+00:00,WIN,188.65,-19.27
185,2025-11-25T15:20:00+00:00,LOSS,-101.34,-120.61
186,2025-11-26T17:00:00+00:00,WIN,191.07,70.46
187,2025-11-27T16:55:00+00:00,LOSS,-103.03,-32.57
188,2025-12-01T15:10:00+00:00,WIN,191.99,159.42
189,2025-12-02T14:55:00+00:00,WIN,194.82,354.24
190,2025-12-03T15:15:00+00:00,LOSS,-105.38,248.86
191,2025-12-04T15:05:00+00:00,LOSS,-104.90,143.96
192,2025-12-05T15:20:00+00:00,WIN,195.00,338.96
193,2025-12-08T16:05:00+00:00,LOSS,-104.87,234.09
194,2025-12-09T15:25:00+00:00,WIN,197.64,431.73
195,2025-12-10T15:00:00+00:00,WIN,198.77,630.50
196,2025-12-11T15:10:00+00:00,WIN,206.67,837.17
197,2025-12-12T14:55:00+00:00,LOSS,-109.96,727.21
198,2025-12-15T16:35:00+00:00,WIN,208.94,936.15
199,2025-12-16T15:00:00+00:00,LOSS,-111.71,824.44
200,2025-12-17T15:15:00+00:00,WIN,211.93,1036.37
201,2025-12-19T14:55:00+00:00,LOSS,-111.96,924.41
202,2025-12-22T15:25:00+00:00,LOSS,-110.96,813.45
203,2025-12-23T15:00:00+00:00,LOSS,-110.63,702.82
204,2025-12-24T15:55:00+00:00,LOSS,-109.06,593.76
205,2025-12-26T15:35:00+00:00,LOSS,-108.20,485.56
206,2025-12-29T15:20:00+00:00,WIN,200.27,685.83
207,2025-12-30T15:35:00+00:00,WIN,203.67,889.50
208,2025-12-31T15:20:00+00:00,WIN,207.54,1097.04
209,2026-01-02T15:55:00+00:00,LOSS,-113.30,983.74
210,2026-01-05T15:10:00+00:00,LOSS,-112.17,871.57
211,2026-01-06T15:00:00+00:00,LOSS,-110.91,760.66
212,2026-01-07T15:40:00+00:00,WIN,207.37,968.03
213,2026-01-08T15:15:00+00:00,LOSS,-111.39,856.64
214,2026-01-09T15:00:00+00:00,WIN,210.21,1066.85
215,2026-01-12T14:55:00+00:00,LOSS,-112.79,954.06
216,2026-01-13T14:55:00+00:00,LOSS,-112.08,841.98
217,2026-01-14T15:05:00+00:00,LOSS,-110.80,731.18
218,2026-01-15T14:55:00+00:00,WIN,207.65,938.83
219,2026-01-16T14:55:00+00:00,LOSS,-111.18,827.65
220,2026-01-19T15:10:00+00:00,LOSS,-110.52,717.13
221,2026-01-20T15:15:00+00:00,LOSS,-108.35,608.78
222,2026-01-21T14:55:00+00:00,LOSS,-108.30,500.48
223,2026-01-22T15:05:00+00:00,LOSS,-106.54,393.94
224,2026-01-23T15:30:00+00:00,LOSS,-105.04,288.90
225,2026-01-26T15:10:00+00:00,LOSS,-105.21,183.69
226,2026-01-27T15:50:00+00:00,WIN,197.43,381.12
227,2026-01-28T15:15:00+00:00,WIN,199.64,580.76
228,2026-01-29T15:10:00+00:00,LOSS,-108.24,472.52
229,2026-01-30T16:35:00+00:00,LOSS,-106.00,366.52
230,2026-02-02T16:15:00+00:00,WIN,201.62,568.14
231,2026-02-03T15:25:00+00:00,LOSS,-108.15,459.99
232,2026-02-04T15:05:00+00:00,WIN,204.28,664.27
233,2026-02-05T14:55:00+00:00,LOSS,-108.37,555.90
234,2026-02-06T14:55:00+00:00,LOSS,-107.15,448.75
235,2026-02-09T15:00:00+00:00,WIN,200.54,649.29
236,2026-02-10T16:35:00+00:00,WIN,206.84,856.13
237,2026-02-11T15:20:00+00:00,WIN,210.22,1066.35
238,2026-02-12T14:55:00+00:00,LOSS,-112.98,953.37
239,2026-02-13T15:00:00+00:00,WIN,211.50,1164.87
240,2026-02-16T15:50:00+00:00,WIN,213.60,1378.47
241,2026-02-17T15:35:00+00:00,LOSS,-115.58,1262.89
242,2026-02-18T15:30:00+00:00,LOSS,-114.06,1148.83
243,2026-02-19T14:55:00+00:00,WIN,212.88,1361.71
244,2026-02-20T15:00:00+00:00,LOSS,-115.28,1246.43
245,2026-02-23T15:10:00+00:00,WIN,218.11,1464.54
246,2026-02-24T15:05:00+00:00,WIN,220.65,1685.19
247,2026-02-25T15:15:00+00:00,LOSS,-119.21,1565.98
248,2026-02-26T15:05:00+00:00,LOSS,-117.59,1448.39
249,2026-02-27T15:10:00+00:00,WIN,222.68,1671.07
250,2026-03-02T14:55:00+00:00,LOSS,-118.51,1552.56
251,2026-03-03T15:05:00+00:00,WIN,222.93,1775.49
252,2026-03-04T15:00:00+00:00,WIN,229.89,2005.38
253,2026-03-05T16:45:00+00:00,LOSS,-121.40,1883.98
254,2026-03-06T15:35:00+00:00,WIN,227.10,2111.08
255,2026-03-09T13:55:00+00:00,LOSS,-123.64,1987.44
256,2026-03-10T15:25:00+00:00,WIN,230.71,2218.15
257,2026-03-11T14:00:00+00:00,LOSS,-124.10,2094.05
258,2026-03-12T13:55:00+00:00,WIN,237.11,2331.16
259,2026-03-13T14:30:00+00:00,WIN,236.43,2567.59
260,2026-03-16T15:35:00+00:00,LOSS,-126.42,2441.17
261,2026-03-17T13:55:00+00:00,LOSS,-126.09,2315.08
262,2026-03-18T13:55:00+00:00,WIN,234.71,2549.79
263,2026-03-19T13:55:00+00:00,LOSS,-127.64,2422.15
264,2026-03-20T14:10:00+00:00,LOSS,-125.30,2296.85
265,2026-03-23T15:45:00+00:00,LOSS,-123.67,2173.18
266,2026-03-24T13:55:00+00:00,LOSS,-122.76,2050.42
267,2026-03-25T14:10:00+00:00,LOSS,-121.99,1928.43
268,2026-03-26T14:00:00+00:00,LOSS,-120.80,1807.63
269,2026-03-27T14:05:00+00:00,WIN,227.14,2034.77
270,2026-03-30T16:50:00+00:00,WIN,235.61,2270.38
271,2026-03-31T13:55:00+00:00,WIN,236.76,2507.14
272,2026-04-01T15:55:00+00:00,LOSS,-126.54,2380.60
273,2026-04-02T14:00:00+00:00,LOSS,-126.58,2254.02
274,2026-04-03T14:10:00+00:00,LOSS,-125.10,2128.92
275,2026-04-06T13:55:00+00:00,LOSS,-122.91,2006.01
276,2026-04-07T16:35:00+00:00,WIN,236.94,2242.95
277,2026-04-08T14:00:00+00:00,LOSS,-124.91,2118.04
278,2026-04-09T14:00:00+00:00,LOSS,-122.64,1995.40
279,2026-04-10T14:05:00+00:00,WIN,233.18,2228.58
280,2026-04-13T14:00:00+00:00,LOSS,-123.60,2104.98
281,2026-04-14T14:20:00+00:00,WIN,233.38,2338.36
282,2026-04-15T15:35:00+00:00,WIN,239.12,2577.48
283,2026-04-16T14:35:00+00:00,LOSS,-127.53,2449.95
284,2026-04-20T14:05:00+00:00,LOSS,-126.89,2323.06
285,2026-04-21T13:55:00+00:00,LOSS,-125.53,2197.53
286,2026-04-22T14:25:00+00:00,LOSS,-123.95,2073.58
287,2026-04-23T14:00:00+00:00,LOSS,-122.77,1950.81
288,2026-04-24T14:05:00+00:00,WIN,233.29,2184.10
289,2026-04-27T14:10:00+00:00,LOSS,-124.08,2060.02
290,2026-04-28T14:05:00+00:00,WIN,233.49,2293.51
291,2026-04-29T18:10:00+00:00,LOSS,-124.96,2168.55
292,2026-04-30T13:55:00+00:00,LOSS,-123.48,2045.07
293,2026-05-01T14:00:00+00:00,LOSS,-122.59,1922.48
294,2026-05-04T15:05:00+00:00,LOSS,-121.02,1801.46
295,2026-05-05T14:05:00+00:00,LOSS,-119.39,1682.07
296,2026-05-06T13:55:00+00:00,LOSS,-118.33,1563.74
297,2026-05-07T14:15:00+00:00,LOSS,-118.04,1445.70
298,2026-05-08T15:30:00+00:00,WIN,222.66,1668.36
299,2026-05-13T14:05:00+00:00,LOSS,-118.39,1549.97
300,2026-05-14T13:55:00+00:00,LOSS,-117.29,1432.68
301,2026-05-15T15:00:00+00:00,WIN,224.00,1656.68
302,2026-05-18T14:10:00+00:00,LOSS,-117.61,1539.07
303,2026-05-19T14:00:00+00:00,LOSS,-116.54,1422.53
304,2026-05-20T14:40:00+00:00,LOSS,-115.59,1306.94
305,2026-05-21T14:20:00+00:00,LOSS,-114.69,1192.25
306,2026-05-25T15:05:00+00:00,LOSS,-114.40,1077.85
307,2026-05-26T13:55:00+00:00,LOSS,-112.51,965.34
308,2026-05-27T16:30:00+00:00,WIN,214.30,1179.64
309,2026-05-28T13:55:00+00:00,LOSS,-114.11,1065.53
310,2026-05-29T14:05:00+00:00,LOSS,-112.97,952.56
311,2026-06-01T14:05:00+00:00,WIN,213.30,1165.86
312,2026-06-02T14:05:00+00:00,LOSS,-113.02,1052.84
313,2026-06-03T14:05:00+00:00,LOSS,-112.47,940.37
314,2026-06-04T14:10:00+00:00,LOSS,-111.32,829.05
315,2026-06-05T13:55:00+00:00,WIN,209.88,1038.93
316,2026-06-08T14:10:00+00:00,WIN,214.34,1253.27
317,2026-06-09T13:55:00+00:00,LOSS,-114.11,1139.16
318,2026-06-10T13:55:00+00:00,LOSS,-113.35,1025.81
319,2026-06-11T14:00:00+00:00,WIN,212.98,1238.79
320,2026-06-12T14:05:00+00:00,LOSS,-113.61,1125.18
321,2026-06-15T14:05:00+00:00,WIN,217.32,1342.50
322,2026-06-16T14:05:00+00:00,LOSS,-114.79,1227.71
323,2026-06-17T14:00:00+00:00,LOSS,-114.63,1113.08
324,2026-06-18T14:10:00+00:00,LOSS,-112.24,1000.84
