day,session,direction,entry_time,entry_price,stop,exit_reason,recorded_spread_at_entry,spread_cost_used,risk,r_multiple_gross,r_multiple_net,pnl_usd_gross,pnl_usd_net
2022-05-30,09:30,LONG,2022-05-30 10:55:00-04:00,12784.6,12767.0,SL,0.0,3.0,17.6,-1.0,-1.1705,-1000.0,-1170.45
2022-05-31,09:30,SHORT,2022-05-31 09:45:00-04:00,12562.2,12580.0,SL,0.0,3.0,17.8,-1.0,-1.1685,-1000.0,-1168.54
2022-06-02,09:30,LONG,2022-06-02 09:55:00-04:00,12515.0,12506.1,SL,0.0,3.0,8.9,-1.0,-1.3371,-1000.0,-1337.08
2022-06-03,09:30,LONG,2022-06-03 10:05:00-04:00,12673.6,12654.7,SL,0.0,3.0,18.9,-1.0,-1.1587,-1000.0,-1158.73
2022-06-06,09:30,LONG,2022-06-06 11:05:00-04:00,12744.4,12711.6,SL,0.0,3.0,32.8,-1.0,-1.0915,-1000.0,-1091.46
2022-06-07,09:30,LONG,2022-06-07 09:55:00-04:00,12531.2,12513.6,SL,0.0,3.0,17.6,-1.0,-1.1705,-1000.0,-1170.45
2022-06-08,09:30,LONG,2022-06-08 10:00:00-04:00,12736.6,12683.8,SL,0.0,3.0,52.8,-1.0,-1.0568,-1000.0,-1056.82
2022-06-09,09:30,LONG,2022-06-09 10:10:00-04:00,12572.8,12531.8,SL,0.0,3.0,41.0,-1.0,-1.0732,-1000.0,-1073.17
2022-06-13,09:30,SHORT,2022-06-13 12:10:00-04:00,11443.1,11475.9,SL,0.0,3.0,32.8,-1.0,-1.0915,-1000.0,-1091.46
2022-06-14,09:30,SHORT,2022-06-14 09:50:00-04:00,11338.0,11365.3,SL,0.0,3.0,27.3,-1.0,-1.1099,-1000.0,-1109.89
2022-06-15,09:30,LONG,2022-06-15 10:10:00-04:00,11513.1,11482.9,SL,0.0,3.0,30.2,-1.0,-1.0993,-1000.0,-1099.34
2022-06-16,09:30,SHORT,2022-06-16 10:20:00-04:00,11216.2,11239.7,TP,0.0,3.0,23.5,3.0,2.8723,3000.0,2872.34
2022-06-17,09:30,SHORT,2022-06-17 11:15:00-04:00,11267.0,11287.5,TP,0.0,3.0,20.5,3.0,2.8537,3000.0,2853.66
2022-06-21,09:30,LONG,2022-06-21 09:45:00-04:00,11549.1,11503.6,SL,0.0,3.0,45.5,-1.0,-1.0659,-1000.0,-1065.93
2022-06-22,09:30,LONG,2022-06-22 10:00:00-04:00,11564.2,11509.3,SL,0.0,3.0,54.9,-1.0,-1.0546,-1000.0,-1054.64
2022-06-23,09:30,LONG,2022-06-23 10:05:00-04:00,11615.3,11535.5,SL,0.0,3.0,79.8,-1.0,-1.0376,-1000.0,-1037.59
2022-06-27,09:30,SHORT,2022-06-27 10:00:00-04:00,12084.9,12092.0,SL,0.0,3.0,7.1,-1.0,-1.4225,-1000.0,-1422.54
2022-06-29,09:30,LONG,2022-06-29 10:00:00-04:00,11651.6,11593.5,SL,0.0,3.0,58.1,-1.0,-1.0516,-1000.0,-1051.64
2022-06-30,09:30,SHORT,2022-06-30 10:55:00-04:00,11452.1,11499.2,SL,0.0,3.0,47.1,-1.0,-1.0637,-1000.0,-1063.69
2022-07-01,09:30,LONG,2022-07-01 10:15:00-04:00,11448.3,11420.5,SL,0.0,3.0,27.8,-1.0,-1.1079,-1000.0,-1107.91
2022-07-04,09:30,SHORT,2022-07-04 11:00:00-04:00,11538.7,11540.5,TP,0.0,3.0,1.8,3.0,1.3333,3000.0,1333.33
2022-07-06,09:30,SHORT,2022-07-06 11:55:00-04:00,11776.0,11801.3,SL,0.0,3.0,25.3,-1.0,-1.1186,-1000.0,-1118.58
2022-07-07,09:30,LONG,2022-07-07 10:00:00-04:00,11986.3,11972.1,SL,0.0,3.0,14.2,-1.0,-1.2113,-1000.0,-1211.27
2022-07-08,09:30,LONG,2022-07-08 09:45:00-04:00,12033.3,12012.3,SL,0.0,3.0,21.0,-1.0,-1.1429,-1000.0,-1142.86
2022-07-11,09:30,SHORT,2022-07-11 10:30:00-04:00,11904.8,11987.0,EOD,0.0,3.0,82.2,1.3431,1.3066,1343.07,1306.57
2022-07-12,09:30,SHORT,2022-07-12 13:00:00-04:00,11914.4,11945.9,TP,0.0,3.0,31.5,3.0,2.9048,3000.0,2904.76
2022-07-14,09:30,SHORT,2022-07-14 09:45:00-04:00,11551.4,11572.7,SL,0.0,3.0,21.3,-1.0,-1.1408,-1000.0,-1140.85
2022-07-15,09:30,SHORT,2022-07-15 09:55:00-04:00,11880.6,11909.3,SL,0.0,3.0,28.7,-1.0,-1.1045,-1000.0,-1104.53
2022-07-18,09:30,LONG,2022-07-18 10:00:00-04:00,12135.4,12110.2,SL,0.0,3.0,25.2,-1.0,-1.119,-1000.0,-1119.05
2022-07-19,09:30,LONG,2022-07-19 10:05:00-04:00,12021.6,12006.2,SL,0.0,3.0,15.4,-1.0,-1.1948,-1000.0,-1194.81
2022-07-20,09:30,LONG,2022-07-20 09:50:00-04:00,12284.5,12271.9,TP,0.0,3.0,12.6,3.0,2.7619,3000.0,2761.9
2022-07-21,09:30,SHORT,2022-07-21 10:55:00-04:00,12453.2,12473.5,SL,0.0,3.0,20.3,-1.0,-1.1478,-1000.0,-1147.78
2022-07-22,09:30,LONG,2022-07-22 09:45:00-04:00,12592.6,12564.7,SL,0.0,3.0,27.9,-1.0,-1.1075,-1000.0,-1107.53
2022-07-25,09:30,SHORT,2022-07-25 10:30:00-04:00,12329.9,12334.4,TP,0.0,3.0,4.5,3.0,2.3333,3000.0,2333.33
2022-07-26,09:30,LONG,2022-07-26 10:00:00-04:00,12208.7,12193.4,SL,0.0,3.0,15.3,-1.0,-1.1961,-1000.0,-1196.08
2022-07-28,09:30,SHORT,2022-07-28 10:00:00-04:00,12506.5,12571.9,SL,0.0,3.0,65.4,-1.0,-1.0459,-1000.0,-1045.87
2022-07-29,09:30,LONG,2022-07-29 11:00:00-04:00,12827.9,12786.7,SL,0.0,3.0,41.2,-1.0,-1.0728,-1000.0,-1072.82
2022-08-01,09:30,LONG,2022-08-01 13:30:00-04:00,12923.7,12907.2,SL,0.0,3.0,16.5,-1.0,-1.1818,-1000.0,-1181.82
2022-08-02,09:30,LONG,2022-08-02 13:35:00-04:00,12907.9,12892.1,SL,0.0,3.0,15.8,-1.0,-1.1899,-1000.0,-1189.87
2022-08-03,09:30,LONG,2022-08-03 09:45:00-04:00,13053.6,13029.3,TP,0.0,3.0,24.3,3.0,2.8765,3000.0,2876.54
2022-08-04,09:30,SHORT,2022-08-04 10:40:00-04:00,13196.9,13228.3,SL,0.0,3.0,31.4,-1.0,-1.0955,-1000.0,-1095.54
2022-08-05,09:30,LONG,2022-08-05 11:00:00-04:00,13199.9,13169.3,SL,0.0,3.0,30.6,-1.0,-1.098,-1000.0,-1098.04
2022-08-08,09:30,LONG,2022-08-08 10:45:00-04:00,13306.7,13294.1,TP,0.0,3.0,12.6,3.0,2.7619,3000.0,2761.9
2022-08-09,09:30,SHORT,2022-08-09 10:30:00-04:00,13017.7,13044.0,SL,0.0,3.0,26.3,-1.0,-1.1141,-1000.0,-1114.07
2022-08-10,09:30,SHORT,2022-08-10 10:30:00-04:00,13282.0,13303.2,SL,0.0,3.0,21.2,-1.0,-1.1415,-1000.0,-1141.51
2022-08-11,09:30,LONG,2022-08-11 10:25:00-04:00,13513.6,13480.8,SL,0.0,3.0,32.8,-1.0,-1.0915,-1000.0,-1091.46
2022-08-15,09:30,SHORT,2022-08-15 09:50:00-04:00,13562.9,13577.2,SL,0.0,3.0,14.3,-1.0,-1.2098,-1000.0,-1209.79
2022-08-16,09:30,SHORT,2022-08-16 09:55:00-04:00,13596.9,13604.5,SL,0.0,3.0,7.6,-1.0,-1.3947,-1000.0,-1394.74
2022-08-17,09:30,SHORT,2022-08-17 10:20:00-04:00,13475.4,13497.2,TP,0.0,3.0,21.8,3.0,2.8624,3000.0,2862.39
2022-08-18,09:30,SHORT,2022-08-18 10:05:00-04:00,13435.3,13445.2,SL,0.0,3.0,9.9,-1.0,-1.303,-1000.0,-1303.03
2022-08-22,09:30,SHORT,2022-08-22 10:25:00-04:00,12975.0,12982.5,TP,0.0,3.0,7.5,3.0,2.6,3000.0,2600.0
2022-08-23,09:30,LONG,2022-08-23 10:00:00-04:00,12924.0,12860.9,SL,0.0,3.0,63.1,-1.0,-1.0475,-1000.0,-1047.54
2022-08-24,09:30,LONG,2022-08-24 10:30:00-04:00,12910.6,12896.1,SL,0.0,3.0,14.5,-1.0,-1.2069,-1000.0,-1206.9
2022-08-25,09:30,LONG,2022-08-25 11:20:00-04:00,12990.7,12956.4,TP,0.0,3.0,34.3,3.0,2.9125,3000.0,2912.54
2022-08-29,09:30,SHORT,2022-08-29 10:05:00-04:00,12534.8,12552.0,SL,0.0,3.0,17.2,-1.0,-1.1744,-1000.0,-1174.42
2022-08-30,09:30,SHORT,2022-08-30 09:50:00-04:00,12510.2,12544.3,TP,0.0,3.0,34.1,3.0,2.912,3000.0,2912.02
2022-08-31,09:30,LONG,2022-08-31 09:55:00-04:00,12453.7,12414.2,SL,0.0,3.0,39.5,-1.0,-1.0759,-1000.0,-1075.95
2022-09-01,09:30,SHORT,2022-09-01 10:20:00-04:00,12106.3,12130.0,SL,0.0,3.0,23.7,-1.0,-1.1266,-1000.0,-1126.58
2022-09-02,09:30,SHORT,2022-09-02 10:05:00-04:00,12311.1,12328.4,SL,0.0,3.0,17.3,-1.0,-1.1734,-1000.0,-1173.41
2022-09-05,09:30,LONG,2022-09-05 09:45:00-04:00,12127.0,12101.0,TP,0.0,3.0,26.0,3.0,2.8846,3000.0,2884.62
2022-09-06,09:30,SHORT,2022-09-06 10:50:00-04:00,12068.3,12089.1,SL,0.0,3.0,20.8,-1.0,-1.1442,-1000.0,-1144.23
2022-09-07,09:30,LONG,2022-09-07 09:50:00-04:00,12077.5,12076.0,SL,0.0,3.0,1.5,-1.0,-3.0,-1000.0,-3000.0
2022-09-08,09:30,LONG,2022-09-08 10:00:00-04:00,12192.1,12154.8,TP,0.0,3.0,37.3,3.0,2.9196,3000.0,2919.57
2022-09-09,09:30,LONG,2022-09-09 10:25:00-04:00,12491.7,12473.1,TP,0.0,3.0,18.6,3.0,2.8387,3000.0,2838.71
