day,direction,fvg_confirm_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2025-12-29,SHORT,2025-12-29 11:00:00-05:00,2025-12-29 11:30:00-05:00,25497.97,25535.85,25384.33000000001,2025-12-29 14:45:00-05:00,25535.85,SL,-1.0,-1000.0
2025-12-30,LONG,2025-12-30 11:00:00-05:00,2025-12-30 11:30:00-05:00,25523.22,25476.72,25662.72,2025-12-30 15:00:00-05:00,25476.72,SL,-1.0,-1000.0
2025-12-31,SHORT,2025-12-31 11:00:00-05:00,2025-12-31 11:15:00-05:00,25354.72,25373.22,25299.22,2025-12-31 11:15:00-05:00,25373.22,SL,-1.0,-1000.0
2026-01-05,SHORT,2026-01-05 12:30:00-05:00,2026-01-05 12:45:00-05:00,25435.97,25475.22,25318.22,2026-01-05 23:45:00-05:00,25453.4,EOD,-0.4441,-444.08
2026-01-06,LONG,2026-01-06 10:00:00-05:00,2026-01-06 10:30:00-05:00,25533.72,25473.05,25715.730000000007,2026-01-06 11:00:00-05:00,25473.05,SL,-1.0,-1000.0
2026-01-07,LONG,2026-01-07 11:00:00-05:00,2026-01-07 11:15:00-05:00,25711.97,25661.85,25862.33000000001,2026-01-07 15:15:00-05:00,25661.85,SL,-1.0,-1000.0
2026-01-08,SHORT,2026-01-08 13:15:00-05:00,2026-01-08 13:45:00-05:00,25484.72,25496.72,25448.72,2026-01-08 13:45:00-05:00,25448.72,TP,3.0,3000.0
2026-01-09,LONG,2026-01-09 10:30:00-05:00,2026-01-09 10:45:00-05:00,25602.47,25569.22,25702.22,2026-01-09 11:00:00-05:00,25702.22,TP,3.0,3000.0
2026-01-12,LONG,2026-01-12 11:15:00-05:00,2026-01-12 11:45:00-05:00,25754.47,25740.22,25797.22,2026-01-12 12:00:00-05:00,25797.22,TP,3.0,3000.0
2026-01-13,SHORT,2026-01-13 10:15:00-05:00,2026-01-13 11:15:00-05:00,25743.47,25775.47,25647.47,2026-01-13 11:30:00-05:00,25775.47,SL,-1.0,-1000.0
2026-01-14,SHORT,2026-01-14 10:45:00-05:00,2026-01-14 11:15:00-05:00,25402.47,25444.72,25275.72,2026-01-14 11:45:00-05:00,25275.72,TP,3.0,3000.0
2026-01-15,SHORT,2026-01-15 12:30:00-05:00,2026-01-15 12:45:00-05:00,25725.72,25745.47,25666.47,2026-01-15 13:30:00-05:00,25745.47,SL,-1.0,-1000.0
2026-01-19,LONG,2026-01-19 10:00:00-05:00,2026-01-19 10:15:00-05:00,25149.22,25081.67,25351.87000000001,2026-01-19 23:45:00-05:00,25218.28,EOD,1.0224,1022.35
2026-01-20,LONG,2026-01-20 10:30:00-05:00,2026-01-20 10:45:00-05:00,25186.72,25120.97,25383.97,2026-01-20 12:45:00-05:00,25120.97,SL,-1.0,-1000.0
2026-01-21,LONG,2026-01-21 10:00:00-05:00,2026-01-21 11:30:00-05:00,25140.47,25046.55,25422.230000000007,2026-01-21 12:00:00-05:00,25046.55,SL,-1.0,-1000.0
2026-01-22,SHORT,2026-01-22 10:00:00-05:00,2026-01-22 10:15:00-05:00,25425.22,25491.92,25225.12000000001,2026-01-22 10:45:00-05:00,25491.92,SL,-1.0,-1000.0
2026-01-26,LONG,2026-01-26 11:30:00-05:00,2026-01-26 11:45:00-05:00,25757.22,25746.22,25790.22,2026-01-26 12:00:00-05:00,25790.22,TP,3.0,3000.0
2026-01-28,SHORT,2026-01-28 10:45:00-05:00,2026-01-28 11:00:00-05:00,26055.47,26085.35,25965.83000000001,2026-01-28 16:00:00-05:00,25965.83000000001,TP,3.0,3000.0
2026-01-29,SHORT,2026-01-29 10:00:00-05:00,2026-01-29 12:30:00-05:00,25733.6,25817.67,25481.39,2026-01-29 15:45:00-05:00,25817.67,SL,-1.0,-1000.0
2026-01-30,SHORT,2026-01-30 12:00:00-05:00,2026-01-30 12:15:00-05:00,25634.22,25706.85,25416.33000000001,2026-01-30 16:45:00-05:00,25509.78,EOD,1.7133,1713.34
2026-02-04,SHORT,2026-02-04 12:30:00-05:00,2026-02-04 13:15:00-05:00,24831.72,24917.72,24573.72,2026-02-04 14:30:00-05:00,24917.72,SL,-1.0,-1000.0
2026-02-05,SHORT,2026-02-05 10:15:00-05:00,2026-02-05 10:30:00-05:00,24554.11,24661.97,24230.53,2026-02-05 11:15:00-05:00,24661.97,SL,-1.0,-1000.0
2026-02-11,SHORT,2026-02-11 10:15:00-05:00,2026-02-11 10:45:00-05:00,25108.22,25214.47,24789.47,2026-02-11 12:30:00-05:00,25214.47,SL,-1.0,-1000.0
2026-02-12,SHORT,2026-02-12 10:00:00-05:00,2026-02-12 10:15:00-05:00,25167.72,25225.67,24993.87000000001,2026-02-12 10:45:00-05:00,24993.87000000001,TP,3.0,3000.0
2026-02-13,SHORT,2026-02-13 15:30:00-05:00,2026-02-13 15:45:00-05:00,24699.1,24735.72,24589.23999999999,2026-02-13 16:00:00-05:00,24735.72,SL,-1.0,-1000.0
2026-02-16,SHORT,2026-02-16 10:30:00-05:00,2026-02-16 10:45:00-05:00,24644.97,24680.35,24538.83000000001,2026-02-16 12:30:00-05:00,24680.35,SL,-1.0,-1000.0
2026-02-17,SHORT,2026-02-17 10:00:00-05:00,2026-02-17 10:15:00-05:00,24494.97,24612.17,24143.37000000001,2026-02-17 11:00:00-05:00,24612.17,SL,-1.0,-1000.0
2026-02-18,LONG,2026-02-18 10:00:00-05:00,2026-02-18 14:30:00-05:00,24870.47,24767.92,25178.12000000001,2026-02-18 23:45:00-05:00,24885.9,EOD,0.1505,150.46
2026-02-19,SHORT,2026-02-19 11:45:00-05:00,2026-02-19 12:15:00-05:00,24800.72,24811.97,24766.97,2026-02-19 12:15:00-05:00,24811.97,SL,-1.0,-1000.0
2026-02-20,LONG,2026-02-20 11:00:00-05:00,2026-02-20 11:15:00-05:00,25005.1,24998.1,25026.1,2026-02-20 11:15:00-05:00,24998.1,SL,-1.0,-1000.0
2026-02-23,SHORT,2026-02-23 10:45:00-05:00,2026-02-23 21:15:00-05:00,24789.72,24809.47,24730.47,2026-02-23 21:15:00-05:00,24809.47,SL,-1.0,-1000.0
2026-02-24,LONG,2026-02-24 10:30:00-05:00,2026-02-24 10:45:00-05:00,24932.72,24811.97,25294.97,2026-02-24 23:45:00-05:00,24996.4,EOD,0.5274,527.37
2026-02-25,LONG,2026-02-25 10:00:00-05:00,2026-02-25 10:15:00-05:00,25249.47,25217.92,25344.12000000001,2026-02-25 10:45:00-05:00,25217.92,SL,-1.0,-1000.0
2026-02-27,LONG,2026-02-27 15:15:00-05:00,2026-02-27 15:30:00-05:00,24913.47,24842.22,25127.22,2026-02-27 16:45:00-05:00,24902.15,EOD,-0.1589,-158.88
2026-03-02,LONG,2026-03-02 11:45:00-05:00,2026-03-02 13:45:00-05:00,24952.22,24824.97,25333.97,2026-03-02 21:00:00-05:00,24824.97,SL,-1.0,-1000.0
2026-03-03,LONG,2026-03-03 11:15:00-05:00,2026-03-03 11:30:00-05:00,24534.65,24409.15,24911.15,2026-03-03 23:45:00-05:00,24552.05,EOD,0.1386,138.65
2026-03-05,LONG,2026-03-05 10:00:00-05:00,2026-03-05 10:15:00-05:00,25091.05,25024.25,25291.449999999997,2026-03-05 10:15:00-05:00,25024.25,SL,-1.0,-1000.0
2026-03-06,LONG,2026-03-06 10:15:00-05:00,2026-03-06 10:45:00-05:00,24727.85,24659.85,24931.85,2026-03-06 15:15:00-05:00,24659.85,SL,-1.0,-1000.0
2026-03-09,LONG,2026-03-09 10:15:00-04:00,2026-03-09 10:30:00-04:00,24363.85,24355.55,24388.749999999996,2026-03-09 10:30:00-04:00,24355.55,SL,-1.0,-1000.0
2026-03-10,LONG,2026-03-10 11:30:00-04:00,2026-03-10 15:15:00-04:00,24974.15,24903.05,25187.450000000008,2026-03-10 23:45:00-04:00,25067.95,EOD,1.3193,1319.27
2026-03-11,LONG,2026-03-11 10:15:00-04:00,2026-03-11 11:30:00-04:00,24934.85,24918.45,24984.049999999992,2026-03-11 11:30:00-04:00,24984.049999999992,TP,3.0,3000.0
2026-03-12,SHORT,2026-03-12 11:30:00-04:00,2026-03-12 11:45:00-04:00,24624.45,24714.35,24354.750000000007,2026-03-12 23:45:00-04:00,24585.45,EOD,0.4338,433.82
2026-03-13,LONG,2026-03-13 10:45:00-04:00,2026-03-13 11:00:00-04:00,24703.05,24627.25,24930.449999999997,2026-03-13 11:15:00-04:00,24627.25,SL,-1.0,-1000.0
2026-03-16,SHORT,2026-03-16 11:45:00-04:00,2026-03-16 12:00:00-04:00,24680.45,24703.45,24611.45,2026-03-16 12:15:00-04:00,24703.45,SL,-1.0,-1000.0
2026-03-17,LONG,2026-03-17 10:15:00-04:00,2026-03-17 10:30:00-04:00,24736.35,24703.05,24836.249999999996,2026-03-17 10:30:00-04:00,24836.249999999996,TP,3.0,3000.0
2026-03-18,SHORT,2026-03-18 11:15:00-04:00,2026-03-18 12:00:00-04:00,24696.15,24741.55,24559.950000000008,2026-03-18 15:30:00-04:00,24559.950000000008,TP,3.0,3000.0
2026-03-19,LONG,2026-03-19 11:00:00-04:00,2026-03-19 11:15:00-04:00,24244.95,24206.95,24358.95,2026-03-19 11:15:00-04:00,24206.95,SL,-1.0,-1000.0
2026-03-20,SHORT,2026-03-20 11:00:00-04:00,2026-03-20 12:15:00-04:00,24109.75,24236.75,23728.75,2026-03-20 17:45:00-04:00,23998.05,EOD,0.8795,879.53
2026-03-24,SHORT,2026-03-24 14:15:00-04:00,2026-03-24 14:30:00-04:00,23989.35,24067.15,23755.94999999999,2026-03-24 15:30:00-04:00,24067.15,SL,-1.0,-1000.0
