day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2025-10-10,reversal,SHORT,2025-10-10 09:35:00-04:00,2025-10-10 09:50:00-04:00,3987.25,3998.764522842654,3964.220954314692,2025-10-10 11:05:00-04:00,3998.764522842654,SL,-1.0,-500.0
2025-10-21,reversal,SHORT,2025-10-21 09:40:00-04:00,2025-10-21 09:50:00-04:00,4183.76,4226.578568973243,4098.122862053515,2025-10-21 10:40:00-04:00,4098.122862053515,TP,2.0,1000.0
2025-10-28,reversal,LONG,2025-10-28 09:35:00-04:00,2025-10-28 09:50:00-04:00,3930.69,3921.9354605853473,3948.1990788293056,2025-10-28 10:25:00-04:00,3948.1990788293056,TP,2.0,1000.0
2025-10-30,reversal,LONG,2025-10-30 09:35:00-04:00,2025-10-30 09:55:00-04:00,3987.69,3963.863410803741,4035.3431783925184,2025-10-30 18:50:00-04:00,4035.3431783925184,TP,2.0,1000.0
2025-11-04,reversal,LONG,2025-11-04 09:35:00-05:00,2025-11-04 09:55:00-05:00,3947.92,3932.441097091025,3978.8778058179505,2025-11-04 13:35:00-05:00,3932.441097091025,SL,-1.0,-500.0
2025-11-05,reversal,SHORT,2025-11-05 09:35:00-05:00,2025-11-05 09:45:00-05:00,3978.69,3986.022876662864,3964.0242466742725,2025-11-05 10:00:00-05:00,3964.0242466742725,TP,2.0,1000.0
2025-11-24,reversal,LONG,2025-11-24 09:40:00-05:00,2025-11-24 09:50:00-05:00,4076.04,4067.9738687361305,4092.172262527739,2025-11-24 10:10:00-05:00,4092.172262527739,TP,2.0,1000.0
2025-12-03,reversal,SHORT,2025-12-03 09:35:00-05:00,2025-12-03 09:45:00-05:00,4227.32,4242.051491879153,4197.857016241693,2025-12-03 11:55:00-05:00,4197.857016241693,TP,2.0,1000.0
2025-12-10,reversal,LONG,2025-12-10 09:35:00-05:00,2025-12-10 09:45:00-05:00,4196.93,4191.0927538043425,4208.604492391316,2025-12-10 10:15:00-05:00,4191.0927538043425,SL,-1.0,-500.0
2025-12-12,reversal,LONG,2025-12-12 09:35:00-05:00,2025-12-12 09:55:00-05:00,4346.71,4330.324670823789,4379.480658352421,2025-12-12 10:15:00-05:00,4330.324670823789,SL,-1.0,-500.0
2025-12-24,reversal,SHORT,2025-12-24 09:35:00-05:00,2025-12-24 09:55:00-05:00,4470.67,4489.597795260018,4432.8144094799645,2025-12-24 13:40:00-05:00,4479.2,EOD,-0.4507,-225.33
2026-01-05,reversal,LONG,2026-01-05 09:35:00-05:00,2026-01-05 09:50:00-05:00,4432.82,4417.2847505014415,4463.890498997116,2026-01-05 22:10:00-05:00,4463.890498997116,TP,2.0,1000.0
2026-03-09,reversal,SHORT,2026-03-09 09:35:00-04:00,2026-03-09 09:45:00-04:00,5084.69,5112.317846888313,5029.434306223372,2026-03-09 10:40:00-04:00,5112.317846888313,SL,-1.0,-500.0
