day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2023-11-07,reversal,LONG,2023-11-07 09:40:00-05:00,2023-11-07 09:55:00-05:00,15206.0,15157.340185661169,15303.319628677662,2023-11-07 10:50:00-05:00,15303.319628677662,TP,2.0,1000.0
2023-11-15,reversal,SHORT,2023-11-15 09:35:00-05:00,2023-11-15 09:55:00-05:00,15853.7,15902.23113463327,15756.637730733462,2023-11-15 10:50:00-05:00,15902.23113463327,SL,-1.0,-500.0
2023-12-07,reversal,SHORT,2023-12-07 09:35:00-05:00,2023-12-07 09:50:00-05:00,15908.8,15961.906769701594,15802.586460596809,2023-12-07 10:20:00-05:00,15961.906769701594,SL,-1.0,-500.0
2023-12-13,reversal,SHORT,2023-12-13 09:35:00-05:00,2023-12-13 09:45:00-05:00,16406.0,16435.175534874295,16347.64893025141,2023-12-13 14:00:00-05:00,16435.175534874295,SL,-1.0,-500.0
2024-01-10,reversal,SHORT,2024-01-10 09:35:00-05:00,2024-01-10 09:55:00-05:00,16683.8,16720.319422939992,16610.761154120013,2024-01-10 10:40:00-05:00,16720.319422939992,SL,-1.0,-500.0
2024-01-11,reversal,SHORT,2024-01-11 09:35:00-05:00,2024-01-11 09:45:00-05:00,16845.8,16901.417731750735,16734.56453649853,2024-01-11 10:05:00-05:00,16734.56453649853,TP,2.0,1000.0
2024-01-16,reversal,SHORT,2024-01-16 09:35:00-05:00,2024-01-16 09:45:00-05:00,16753.7,16808.434878284083,16644.230243431837,2024-01-16 10:10:00-05:00,16808.434878284083,SL,-1.0,-500.0
2024-01-22,reversal,SHORT,2024-01-22 09:35:00-05:00,2024-01-22 09:45:00-05:00,17403.1,17454.61234932983,17300.075301340337,2024-01-22 23:55:00-05:00,17347.3,EOD,1.0832,541.62
2024-02-08,reversal,LONG,2024-02-08 09:40:00-05:00,2024-02-08 09:55:00-05:00,17752.1,17722.98625213098,17810.327495738034,2024-02-08 10:50:00-05:00,17810.327495738034,TP,2.0,1000.0
2024-02-28,reversal,SHORT,2024-02-28 09:35:00-05:00,2024-02-28 09:50:00-05:00,17864.6,17903.19201781906,17787.415964361877,2024-02-28 11:00:00-05:00,17903.19201781906,SL,-1.0,-500.0
2024-03-11,reversal,SHORT,2024-03-11 09:40:00-04:00,2024-03-11 09:55:00-04:00,17935.0,17987.187953453304,17830.624093093393,2024-03-11 10:50:00-04:00,17987.187953453304,SL,-1.0,-500.0
2024-03-21,reversal,SHORT,2024-03-21 09:40:00-04:00,2024-03-21 09:50:00-04:00,18422.02,18476.743902147704,18312.572195704593,2024-03-21 22:35:00-04:00,18312.572195704593,TP,2.0,1000.0
2024-04-04,reversal,SHORT,2024-04-04 09:35:00-04:00,2024-04-04 09:55:00-04:00,18326.34,18372.06426083939,18234.89147832122,2024-04-04 14:10:00-04:00,18234.89147832122,TP,2.0,1000.0
2024-04-22,reversal,LONG,2024-04-22 09:35:00-04:00,2024-04-22 09:50:00-04:00,17165.48,17118.19594547522,17260.048109049556,2024-04-22 10:10:00-04:00,17118.19594547522,SL,-1.0,-500.0
2024-05-15,reversal,SHORT,2024-05-15 09:35:00-04:00,2024-05-15 09:50:00-04:00,18387.28,18445.543498174866,18270.753003650265,2024-05-15 10:20:00-04:00,18445.543498174866,SL,-1.0,-500.0
2024-05-31,reversal,SHORT,2024-05-31 09:35:00-04:00,2024-05-31 09:50:00-04:00,18541.2,18570.63376792683,18482.332464146344,2024-05-31 09:55:00-04:00,18482.332464146344,TP,2.0,1000.0
2024-06-03,reversal,SHORT,2024-06-03 09:35:00-04:00,2024-06-03 09:55:00-04:00,18653.91,18694.684197082344,18572.36160583531,2024-06-03 10:45:00-04:00,18572.36160583531,TP,2.0,1000.0
2024-06-06,reversal,SHORT,2024-06-06 09:35:00-04:00,2024-06-06 09:50:00-04:00,19049.83,19081.88204214778,18985.725915704446,2024-06-06 14:10:00-04:00,18985.725915704446,TP,2.0,1000.0
2024-06-11,reversal,SHORT,2024-06-11 09:35:00-04:00,2024-06-11 09:50:00-04:00,19013.22,19066.862396513607,18905.93520697279,2024-06-11 10:25:00-04:00,19066.862396513607,SL,-1.0,-500.0
2024-06-20,reversal,LONG,2024-06-20 09:35:00-04:00,2024-06-20 09:45:00-04:00,19977.06,19926.584700972802,20078.0105980544,2024-06-20 10:05:00-04:00,19926.584700972802,SL,-1.0,-500.0
2024-06-21,reversal,SHORT,2024-06-21 09:35:00-04:00,2024-06-21 09:50:00-04:00,19693.3,19760.48221933935,19558.9355613213,2024-06-21 11:15:00-04:00,19760.48221933935,SL,-1.0,-500.0
2024-07-05,reversal,LONG,2024-07-05 09:45:00-04:00,2024-07-05 09:55:00-04:00,20254.18,20196.32125902141,20369.89748195718,2024-07-05 11:45:00-04:00,20369.89748195718,TP,2.0,1000.0
2024-07-12,reversal,LONG,2024-07-12 09:35:00-04:00,2024-07-12 09:50:00-04:00,20282.9,20216.5432828097,20415.613434380604,2024-07-12 10:35:00-04:00,20415.613434380604,TP,2.0,1000.0
2024-08-06,reversal,LONG,2024-08-06 09:35:00-04:00,2024-08-06 09:55:00-04:00,17997.9,17914.24516429489,18165.209671410223,2024-08-06 10:45:00-04:00,18165.209671410223,TP,2.0,1000.0
2024-09-02,reversal,LONG,2024-09-02 09:35:00-04:00,2024-09-02 09:45:00-04:00,19582.23,19564.01578594888,19618.65842810224,2024-09-02 10:00:00-04:00,19564.01578594888,SL,-1.0,-500.0
2024-10-23,reversal,SHORT,2024-10-23 09:40:00-04:00,2024-10-23 09:55:00-04:00,20287.6,20290.30343549268,20282.19312901464,2024-10-23 18:00:00-04:00,20282.19312901464,TP,2.0,1000.0
2025-01-13,reversal,LONG,2025-01-13 09:40:00-05:00,2025-01-13 09:55:00-05:00,20572.28,20482.124783363975,20752.590433272046,2025-01-13 16:00:00-05:00,20752.590433272046,TP,2.0,1000.0
2025-01-15,reversal,LONG,2025-01-15 09:35:00-05:00,2025-01-15 09:45:00-05:00,21078.18,20973.56850110898,21287.40299778204,2025-01-15 23:55:00-05:00,21183.45,EOD,1.0063,503.15
2025-01-30,reversal,LONG,2025-01-30 09:35:00-05:00,2025-01-30 09:50:00-05:00,21530.32,21439.97891562748,21711.002168745043,2025-01-30 10:00:00-05:00,21439.97891562748,SL,-1.0,-500.0
2025-02-14,reversal,LONG,2025-02-14 09:35:00-05:00,2025-02-14 09:50:00-05:00,22033.5,22003.415577469903,22093.668845060194,2025-02-14 13:30:00-05:00,22093.668845060194,TP,2.0,1000.0
2025-03-21,reversal,LONG,2025-03-21 09:35:00-04:00,2025-03-21 09:45:00-04:00,19457.9,19398.70610912421,19576.287781751584,2025-03-21 10:55:00-04:00,19576.287781751584,TP,2.0,1000.0
2025-03-26,reversal,SHORT,2025-03-26 09:35:00-04:00,2025-03-26 09:50:00-04:00,20201.45,20272.376617471848,20059.596765056307,2025-03-26 10:20:00-04:00,20059.596765056307,TP,2.0,1000.0
2025-03-27,reversal,LONG,2025-03-27 09:40:00-04:00,2025-03-27 09:50:00-04:00,19799.55,19734.20509356942,19930.239812861157,2025-03-27 10:30:00-04:00,19930.239812861157,TP,2.0,1000.0
2025-03-31,reversal,LONG,2025-03-31 09:45:00-04:00,2025-03-31 09:55:00-04:00,18890.3,18792.937178013897,19085.025643972203,2025-03-31 12:25:00-04:00,19085.025643972203,TP,2.0,1000.0
2025-04-16,reversal,SHORT,2025-04-16 09:35:00-04:00,2025-04-16 09:50:00-04:00,18469.2,18543.637311062655,18320.32537787469,2025-04-16 11:20:00-04:00,18543.637311062655,SL,-1.0,-500.0
